code,city,lat,lon,hasLab,osm_dist_wwtp_m,osm_dist_farmland_m,osm_urban_frac_2km,osm_nearest_wwtp_name,distanceToSewageStations,distChampCulture,urbanPct2000m,healthRiskScore,scaledPathogenRisk,scaledFecalRisk,scaledArgRisk
C1,Coimbra,40.19787,-8.42865,True,3265.3,374.2,0.2293,Estação de Tratamento de Águas Residuais do Choupal,4297.1,374.62,19.85,0.2199,0.0746,0.2477,0.3374
C2,Coimbra,40.22483,-8.44135,True,581.5,339.2,0.1465,Estação de Tratamento de Águas Residuais do Choupal,761.69,780.94,14.36,0.4221,0.507,0.5072,0.2522
C3,Coimbra,40.19307,-8.41945,True,2508.2,189.5,0.1576,ETAR de Torres do Mondego,3283.61,189.88,13.33,0.2436,0.2973,0.2051,0.2283
C4,Coimbra,40.25289,-8.43659,True,3197.5,1423.5,0.1509,Estação de Tratamento de Águas Residuais do Choupal,4211.41,1424.49,19.61,0.0748,0.0496,0.1409,0.0339
C5,Coimbra,40.2186,-8.42733,True,1830.9,293.1,0.2293,Estação de Tratamento de Águas Residuais do Choupal,2398.28,294.16,26.86,0.7822,1.0,1.0,0.3465
C6,Coimbra,40.21942,-8.43772,True,974.0,630.8,0.163,Estação de Tratamento de Águas Residuais do Choupal,1276.96,631.56,20.1,0.5952,0.7351,0.6664,0.3841
C7,Coimbra,40.22243,-8.40165,True,3452.6,251.3,0.2069,ETAR de Torres do Mondego,4548.51,252.24,20.55,0.2504,0.1783,0.5702,0.0027
C8,Coimbra,40.19133,-8.46002,True,3170.9,1172.9,0.1696,Estação de Tratamento de Águas Residuais de Ribeira de Frades,4162.64,1210.98,13.55,0.4279,0.406,0.4457,0.432
C9,Coimbra,40.27702,-8.4272,True,5752.6,433.7,0.1045,,7577.9,1330.08,9.46,0.1964,0.1265,0.1443,0.3186
C10,Coimbra,40.19776,-8.41773,True,2432.9,65.9,0.2444,ETAR de Torres do Mondego,3186.25,66.09,17.16,0.1851,0.05,0.4146,0.0906
C11,Coimbra,40.22752,-8.43757,True,986.9,357.7,0.1479,Estação de Tratamento de Águas Residuais do Choupal,1293.19,645.21,16.33,0.1278,0.0509,0.187,0.1456
C12,Coimbra,40.20386,-8.45302,True,2165.0,6.9,0.1297,Estação de Tratamento de Águas Residuais do Choupal,2815.42,242.6,15.08,0.5324,0.4217,0.8051,0.3704
C13,Coimbra,40.11106,-8.49052,True,1230.9,258.3,0.0362,,1620.21,7796.3,0.43,0.2165,0.1499,0.2287,0.2708
C14,Coimbra,40.16719,-8.47817,True,4529.8,3123.5,0.1266,,5954.39,3128.16,13.06,0.2243,0.2241,0.1143,0.3343
C15,Coimbra,40.17943,-8.42117,True,3013.7,30.0,0.0814,ETAR de Torres do Mondego,3951.15,30.06,4.69,0.3449,0.3791,0.3851,0.2706
C16,Coimbra,40.22461,-8.44304,True,436.9,200.7,0.14,Estação de Tratamento de Águas Residuais do Choupal,572.3,794.04,13.01,0.3534,0.5063,0.2531,0.3008
C17,Coimbra,40.17422,-8.39363,False,1982.9,142.8,0.0899,,,,,,,,
C18,Coimbra,40.25621,-8.45312,False,3256.0,742.2,0.0896,Estação de Tratamento de Águas Residuais do Choupal,,,,,,,
C19,Coimbra,40.24812,-8.41159,True,4050.5,2880.0,0.1347,Estação de Tratamento de Águas Residuais do Choupal,5317.67,2889.97,13.7,0.4367,0.3044,0.4625,0.5433
C20,Coimbra,40.21085,-8.47667,True,1026.1,16.5,0.045,Estação de Tratamento de Águas Residuais de Ribeira de Frades,1343.43,16.51,6.78,0.3304,0.2243,0.2044,0.5623
G2,Ghent,50.85943,3.79794,True,3294.9,118.4,0.2471,,14149.11,14862.73,0.0,0.2861,0.1242,0.2672,0.4669
G6,Ghent,50.87579,3.75151,True,90.8,58.9,0.1297,,11388.61,11967.51,0.0,0.2201,0.1738,0.3113,0.175
G8,Ghent,50.87971,3.73771,True,945.3,198.6,0.1225,,11210.37,11305.96,0.0,0.2161,0.0993,0.2305,0.3183
G9,Ghent,50.87366,3.73125,True,1238.6,26.0,0.1121,,12474.01,11882.2,0.0,0.3553,0.1492,0.3966,0.5202
